timestamp,ipkts,opkts
2025-05-12 21:30:00+00:00,312152823.3648649,470495921.0225225
2025-05-12 21:35:00+00:00,312157748.6450216,470500914.58441556
2025-05-12 21:40:00+00:00,312161673.1925926,470504885.78518516
2025-05-12 21:45:00+00:00,312164300.07843137,470507592.98039216
2025-05-12 21:50:00+00:00,312166539.9569892,470509908.6666667
2025-05-12 21:55:00+00:00,312170372.02109706,470513790.62025315
2025-05-12 22:00:00+00:00,312175332.6846847,470518807.5405405
2025-05-12 22:05:00+00:00,312180034.20289856,470523568.1642512
2025-05-12 22:10:00+00:00,312184904.0044444,470528483.7911111
2025-05-12 22:15:00+00:00,312189886.7916667,470533515.09166664
2025-05-12 22:20:00+00:00,312195091.85,470538793.7416667
2025-05-12 22:25:00+00:00,312200305.37916666,470544066.47083336
